state,mae,std_error,count
CT,0.8799438,0.16855538,1752
RI,0.85070646,0.22299197,29784
MA,0.7887004,0.27754238,36792
VT,0.6159715,0.42370504,8760
NH,0.5841983,0.42630997,8760
NY,0.5393544,0.39371407,45552
NJ,0.47008473,0.3618093,3504
ME,0.43746182,0.414934,28032
DE,0.32607517,0.29608914,1752
MT,0.28119516,0.28459388,28032
ND,0.27496967,0.26322344,64824
OR,0.24427031,0.2764927,73584
SD,0.23541142,0.22232069,36792
MI,0.2126385,0.25075895,49056
WY,0.2099771,0.22059754,43800
WA,0.20352699,0.25656867,40296
ID,0.1937525,0.23201942,56064
PA,0.18548296,0.2606106,45552
CO,0.17589882,0.18829171,49056
NE,0.16194747,0.17069024,45552
AZ,0.15512882,0.19882816,10512
CA,0.13712502,0.19094996,166440
MD,0.12646392,0.13312048,8760
NV,0.1225543,0.20084122,1752
UT,0.11458937,0.16508539,8760
NM,0.1121553,0.14269117,38544
IN,0.105689585,0.07253986,31536
WV,0.10553151,0.11141505,12264
MN,0.10399703,0.13474087,210240
IL,0.09909402,0.08226975,77088
MO,0.09724055,0.14216079,21024
KS,0.08574944,0.100477695,68328
WI,0.08390414,0.14572175,21024
OH,0.078450345,0.094734095,35040
IA,0.06652869,0.099508114,187464
OK,0.051620707,0.081699915,92856
TX,0.035981942,0.052394304,318864
